,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
1312,Moussa Konaté,sn SEN,FW,Amiens,fr Ligue 1,24,1993,27.5,537,486,51,1,1,3,23,3,0,0,0,0,355,0,20,Matches,fcbcbd94
1313,Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,24,1993,29.0,1559,1513,39,37,4,36,3,1,0,0,0,0,1355,7,15,Matches,cce181df
1314,Bakary Koné,bf BFA,DF,Strasbourg,fr Ligue 1,29,1988,27.4,1030,995,31,29,1,12,1,2,0,0,0,0,877,4,5,Matches,1f713024
1315,Terence Kongolo,nl NED,DF,Huddersfield,eng Premier League,23,1994,11.7,390,314,73,7,0,1,10,66,0,0,0,0,263,3,12,Matches,1f9a3a04
1316,Terence Kongolo,nl NED,DF,Monaco,fr Ligue 1,23,1994,2.9,155,117,38,3,0,0,11,35,0,0,0,0,118,0,6,Matches,1f9a3a04
1317,Yevhen Konoplyanka,ua UKR,FWMF,Schalke 04,de Bundesliga,27,1989,17.4,503,456,44,17,0,3,107,1,24,7,16,1,331,3,28,Matches,d9a5d930
1318,Julian Korb,de GER,DFMF,Hannover 96,de Bundesliga,25,1992,26.0,1199,872,320,14,0,2,64,306,0,0,0,0,814,7,58,Matches,3dffff26
1319,Laurent Koscielny,fr FRA,DF,Arsenal,eng Premier League,31,1985,24.7,1765,1705,54,45,2,25,5,9,0,0,0,0,1563,6,7,Matches,f5efb153
1320,Filip Kostić,rs SRB,FWMF,Hamburger SV,de Bundesliga,24,1992,27.1,796,729,60,4,1,10,125,28,24,8,13,0,459,7,57,Matches,b1cd37e6
1321,Christian Kouakou,ci CIV,MFFW,Caen,fr Ligue 1,26,1991,9.4,157,155,1,0,0,0,19,1,0,0,0,0,106,1,4,Matches,ce316f8c
1322,Rominigue Kouamé,ml MLI,DFMF,Lille,fr Ligue 1,20,1996,2.2,139,127,12,1,0,0,3,11,0,0,0,0,119,0,0,Matches,86a2ba20
1323,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34.0,973,574,399,130,0,6,0,0,0,0,0,0,571,0,2,Matches,dc366c36
1324,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,26,1991,34.1,2994,2943,50,40,1,22,2,10,0,0,0,0,2730,1,18,Matches,da974c7b
1325,Jules Koundé,fr FRA,DF,Bordeaux,fr Ligue 1,18,1998,17.7,844,817,25,25,4,12,1,0,0,0,0,0,704,2,6,Matches,4d1666ff
1326,Cheikhou Kouyaté,sn SEN,MF,West Ham,eng Premier League,27,1989,31.1,982,967,12,4,5,1,17,7,0,0,0,0,734,3,25,Matches,8d3c902d
1327,Mateo Kovačić,hr CRO,MF,Real Madrid,es La Liga,23,1994,11.0,797,777,19,16,1,5,4,1,1,0,0,0,742,1,6,Matches,79c0821a
1328,Maksym Koval,ua UKR,GK,La Coruña,es La Liga,24,1992,1.3,48,24,24,5,0,1,0,0,0,0,0,0,32,0,0,Matches,60713cb3
1329,Dawid Kownacki,pl POL,FW,Sampdoria,it Serie A,20,1997,9.1,262,245,17,1,0,0,16,2,0,0,0,0,187,0,12,Matches,be5e1c4c
1330,Vincent Koziello,fr FRA,MF,Nice,fr Ligue 1,21,1995,9.0,593,575,17,14,1,3,0,3,0,0,0,0,557,1,6,Matches,9a493fb7
1331,Vincent Koziello,fr FRA,MF,Köln,de Bundesliga,21,1995,8.8,520,510,9,8,0,3,4,1,0,0,0,0,470,1,9,Matches,9a493fb7
1332,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3.0,137,95,41,13,0,0,0,0,0,0,0,0,83,1,0,Matches,bb25c778
1333,Emil Krafth,se SWE,DF,Bologna,it Serie A,22,1994,10.5,521,430,89,5,0,0,11,84,0,0,0,0,414,2,11,Matches,77cf6852
1334,Oliver Kragl,de GER,MF,Crotone,it Serie A,27,1990,1.1,38,36,2,2,0,0,1,0,0,0,0,0,27,0,1,Matches,1c17dfe0
1335,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,26,1991,24.8,945,827,111,25,3,8,139,14,63,25,30,0,687,7,29,Matches,603cb947
1336,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,26,1991,23.9,1535,1452,78,74,0,14,7,4,0,0,0,0,1340,5,23,Matches,496aeede
1337,Ladislav Krejčí,cz CZE,MFFW,Bologna,it Serie A,25,1992,4.4,158,153,5,0,0,0,10,5,0,0,0,0,119,0,5,Matches,58027adc
1338,Rene Krhin,si SVN,MF,Nantes,fr Ligue 1,27,1990,14.6,508,494,13,13,0,8,0,0,0,0,0,0,424,1,5,Matches,9a506145
1339,Bojan Krkić,es ESP,MF,Stoke City,eng Premier League,26,1990,0.8,27,26,1,0,0,0,2,0,0,0,0,0,22,0,2,Matches,9fa0a0b8
1340,Bojan Krkić,es ESP,FWMF,Alavés,es La Liga,26,1990,4.9,141,133,7,0,1,2,4,0,0,0,0,0,109,1,5,Matches,9fa0a0b8
1341,Michael Krohn-Dehli,dk DEN,MF,La Coruña,es La Liga,34,1983,8.1,362,353,5,1,0,1,11,3,1,1,0,0,301,4,4,Matches,1c8dc17d
1342,Michael Krohn-Dehli,dk DEN,MFFW,Sevilla,es La Liga,34,1983,6.0,382,349,26,5,2,6,17,2,18,10,5,0,308,7,10,Matches,1c8dc17d
1343,Toni Kroos,de GER,MF,Real Madrid,es La Liga,27,1990,25.1,2235,1995,233,91,9,61,148,10,132,36,64,0,1982,7,16,Matches,6ce1f46f
1344,Max Kruse,de GER,FW,Werder Bremen,de Bundesliga,29,1988,27.3,1389,1193,184,36,3,30,119,23,70,25,32,2,1035,12,42,Matches,f9446dcd
1345,Grzegorz Krychowiak,pl POL,MF,West Brom,eng Premier League,27,1990,18.2,831,796,34,16,6,12,18,0,11,5,4,0,641,1,19,Matches,580d52dd
1346,Lukas Kübler,de GER,DFMF,Freiburg,de Bundesliga,24,1992,12.8,543,425,118,8,0,3,14,110,0,0,0,0,383,0,10,Matches,2a29eb9b
1347,Jasmin Kurtić,si SVN,MFFW,SPAL,it Serie A,28,1989,16.0,678,647,28,11,0,10,37,7,10,2,7,0,494,3,22,Matches,144607cc
1348,Jasmin Kurtić,si SVN,MF,Atalanta,it Serie A,28,1989,7.4,326,312,10,3,1,5,12,6,0,0,0,0,249,4,8,Matches,144607cc
1349,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,24,1992,18.9,1128,948,172,17,2,1,39,155,0,0,0,0,954,8,18,Matches,41e7ef1c
1350,Filip Kusić,rs SRB,DFMF,Köln,de Bundesliga,21,1996,0.2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches,de1a2530
1351,Zdravko Kuzmanović,rs SRB,MF,Málaga,es La Liga,29,1987,5.3,342,325,14,13,0,5,4,1,0,0,0,0,304,3,1,Matches,6df0dc74
1352,Han Kwang-song,kp PRK,FW,Cagliari,it Serie A,18,1998,3.1,55,55,0,0,0,0,5,0,0,0,0,0,41,0,2,Matches,87243064
1353,Enock Kwateng,fr FRA,DF,Nantes,fr Ligue 1,20,1997,1.0,41,33,8,0,0,0,0,8,0,0,0,0,26,0,1,Matches,4bf69118
1354,Alberto de la Bella,es ESP,DF,Real Sociedad,es La Liga,31,1985,17.0,1072,875,192,15,1,5,69,177,0,0,0,0,852,5,19,Matches,8497faf7
1355,Rajiv van La Parra,nl NED,FWMF,Huddersfield,eng Premier League,26,1991,23.7,725,709,14,2,3,0,84,6,5,5,0,0,517,2,46,Matches,1931bde9
1356,Brighton Labeau,mq MTQ,FW,Amiens,fr Ligue 1,21,1996,0.3,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,Matches,f45cf4f7
1357,Gaëtan Laborde,fr FRA,FW,Bordeaux,fr Ligue 1,23,1994,10.6,254,235,18,0,0,0,12,0,0,0,0,0,158,1,12,Matches,7cdda3bf
1358,Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,26,1991,24.5,744,691,48,0,9,1,16,0,0,0,0,0,558,5,21,Matches,9dbb75ca
1359,Mehdi Lacen,dz ALG,MF,Málaga,es La Liga,33,1984,11.7,486,473,12,12,0,14,7,0,0,0,0,0,408,1,12,Matches,a3a306f6
1360,Mehdi Lacen,dz ALG,MF,Getafe,es La Liga,33,1984,0.7,27,25,1,0,0,0,1,1,0,0,0,0,22,1,0,Matches,a3a306f6
1361,Léo Lacroix,ch SUI,DF,Saint-Étienne,fr Ligue 1,25,1992,8.6,355,344,10,10,0,5,0,0,0,0,0,0,303,1,3,Matches,5984e9f9
1362,Freddie Ladapo,eng ENG,FW,Crystal Palace,eng Premier League,24,1993,0.2,9,9,0,0,0,0,2,0,0,0,0,0,5,0,1,Matches,da2b8db3
1363,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38.0,1266,740,522,190,0,1,0,1,0,0,0,0,812,4,4,Matches,4e7db402
1364,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,27,1989,17.0,565,516,48,46,0,8,2,2,0,0,0,0,384,1,3,Matches,b7c99b9b
1365,Konrad Laimer,at AUT,DFMF,RB Leipzig,de Bundesliga,20,1997,14.9,755,625,127,9,3,4,13,118,0,0,0,0,590,3,20,Matches,c1b7847c
1366,Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,25,1991,30.3,1765,1363,391,47,4,40,69,344,0,0,0,0,1341,11,43,Matches,770d7eb8
1367,Adam Lallana,eng ENG,MFFW,Liverpool,eng Premier League,29,1988,3.4,229,226,3,1,0,0,8,1,1,1,0,0,192,0,3,Matches,99813635
1368,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1.0,23,11,11,3,0,0,0,0,0,0,0,0,16,1,0,Matches,349601c3
1369,Érik Lamela,ar ARG,FWMF,Tottenham,eng Premier League,25,1992,9.4,477,443,30,7,5,1,25,2,18,10,6,0,379,4,12,Matches,abe66106
1370,Ádám Lang,hu HUN,DF,Dijon,fr Ligue 1,24,1993,2.6,121,117,4,4,0,3,1,0,0,0,0,0,103,0,2,Matches,8614496d
1371,Sebastian Langkamp,de GER,DF,Hertha BSC,de Bundesliga,29,1988,10.6,565,537,28,27,0,5,0,1,0,0,0,0,489,0,3,Matches,74d70fb5
1372,Sebastian Langkamp,de GER,DF,Werder Bremen,de Bundesliga,29,1988,4.6,214,204,10,10,0,1,0,0,0,0,0,0,184,0,2,Matches,74d70fb5
1373,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,24,1993,22.7,1309,1176,125,48,6,4,83,5,51,32,13,0,1085,8,18,Matches,26f6dca8
1374,Gianluca Lapadula,pe PER,FW,Genoa,it Serie A,27,1990,16.6,275,250,23,0,2,0,3,1,0,0,0,0,171,2,8,Matches,2ead2809
1375,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,23,1994,9.0,826,801,25,12,1,10,2,13,0,0,0,0,762,0,3,Matches,119b9a8e
1376,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,23,1994,19.0,990,940,46,41,1,23,9,5,0,0,0,0,822,4,6,Matches,119b9a8e
1377,Danilo Larangeira,br BRA,DF,Udinese,it Serie A,33,1984,30.8,1413,1324,84,73,0,16,2,11,0,0,0,0,1111,5,8,Matches,fed5f993
1378,Kevin Lasagna,it ITA,FW,Udinese,it Serie A,24,1992,23.7,440,409,29,0,0,2,32,0,0,0,0,0,264,2,18,Matches,09538fdb
1379,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,23,1993,32.5,1195,1165,26,21,0,5,2,5,0,0,0,0,918,4,15,Matches,450ab6fc
1380,Paul Lasne,fr FRA,MF,Montpellier,fr Ligue 1,28,1989,34.0,1809,1754,46,26,10,43,52,18,2,0,2,0,1442,9,29,Matches,542cc80f
1381,Borja Lasso,es ESP,MF,Sevilla,es La Liga,23,1994,0.6,35,35,0,0,1,0,0,0,0,0,0,0,26,0,2,Matches,d9faee7e
1382,Toni Lato,es ESP,DFMF,Valencia,es La Liga,19,1997,8.9,411,332,76,7,0,1,10,69,0,0,0,0,317,3,8,Matches,8e088e04
1383,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,27,1989,26.1,1263,1188,72,50,0,7,33,5,17,9,8,0,984,3,21,Matches,33b554b7
1384,Vincent Laurini,fr FRA,DF,Fiorentina,it Serie A,28,1989,17.9,1106,863,238,29,1,3,54,209,0,0,0,0,860,5,21,Matches,3535098b
1385,Wesley Lautoa,nc NCL,DFMF,Dijon,fr Ligue 1,29,1987,6.9,285,277,8,7,0,3,0,1,0,0,0,0,235,0,5,Matches,6e5b5a45
1386,Diego Laxalt,uy URU,DF,Genoa,it Serie A,24,1993,31.2,1326,1094,229,3,0,2,114,226,0,0,0,0,929,3,75,Matches,f26e3c59
1387,Miguel Layún,mx MEX,DF,Sevilla,es La Liga,29,1988,13.2,683,540,138,12,1,8,53,114,11,3,6,0,504,5,16,Matches,ad6295d4
1388,Achraf Lazaar,ma MAR,MFDF,Benevento,it Serie A,25,1992,5.3,169,148,21,1,0,2,20,18,2,0,2,0,118,0,5,Matches,957d41d2
1389,Valentino Lazaro,at AUT,MFFW,Hertha BSC,de Bundesliga,21,1996,20.7,694,605,85,27,0,2,82,17,32,6,21,2,477,4,28,Matches,016ff750
1390,Darko Lazović,rs SRB,DFMF,Genoa,it Serie A,26,1990,13.8,678,575,99,5,0,4,83,88,6,1,3,1,475,4,27,Matches,5128bde4
1391,Manuel Lazzari,it ITA,DF,SPAL,it Serie A,23,1993,34.6,1516,1200,312,10,3,7,169,298,4,0,0,0,1178,4,72,Matches,02caf6e0
1392,Mickaël Le Bihan,fr FRA,FWMF,Nice,fr Ligue 1,27,1990,1.2,48,47,1,0,0,1,3,0,0,0,0,0,41,0,1,Matches,d512db65
1393,Maxime Le Marchand,fr FRA,DF,Nice,fr Ligue 1,27,1989,28.2,1973,1808,164,44,0,18,32,120,0,0,0,0,1732,1,22,Matches,321a71a7
1394,James Lea Siliki,cm CMR,MF,Rennes,fr Ligue 1,21,1996,20.2,759,704,42,16,7,14,59,2,16,9,2,0,548,13,23,Matches,7cf431a5
1395,Mathew Leckie,au AUS,FWMF,Hertha BSC,de Bundesliga,26,1991,20.6,793,775,18,2,2,5,28,16,0,0,0,0,549,0,36,Matches,b93b7882
1396,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,26,1991,38.0,1152,748,400,131,0,4,0,1,0,0,0,0,806,4,0,Matches,2fa2a875
1397,Pierre Lees-Melou,fr FRA,MFFW,Nice,fr Ligue 1,24,1993,32.1,1626,1535,87,14,2,31,108,9,63,20,41,0,1319,4,32,Matches,f5044e54
1398,Matthias Lehmann,de GER,MF,Köln,de Bundesliga,34,1983,16.8,847,807,35,30,0,9,3,3,0,0,0,0,682,5,9,Matches,abb42ce6
1399,Lucas Leiva,br BRA,MF,Lazio,it Serie A,30,1987,32.0,2126,2066,52,50,13,4,9,2,0,0,0,0,1836,8,24,Matches,4c78b5ed
1400,Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,26,1991,23.4,1082,1035,43,40,2,21,4,3,0,0,0,0,826,4,8,Matches,6eaed4eb
1401,Iñigo Lekue,es ESP,DFFW,Athletic Club,es La Liga,24,1993,23.5,1231,1005,216,16,0,5,72,200,0,0,0,0,922,10,35,Matches,59b7d823
1402,Thomas Lemar,fr FRA,MFFW,Monaco,fr Ligue 1,21,1995,26.4,1319,1142,169,50,10,14,170,26,84,29,30,1,1015,8,25,Matches,4dbd0916
1403,Mario Lemina,ga GAB,MF,Southampton,eng Premier League,23,1993,19.1,987,977,7,4,6,9,10,3,0,0,0,0,857,3,5,Matches,2b471f99
1404,Mauricio Lemos,uy URU,DF,Sassuolo,it Serie A,21,1995,7.8,272,226,45,13,1,7,2,32,0,0,0,0,196,1,3,Matches,dbe5a587
1405,Mauricio Lemos,uy URU,DFMF,Las Palmas,es La Liga,21,1995,14.0,830,796,34,34,0,20,0,0,0,0,0,0,729,0,3,Matches,dbe5a587
1406,Dylan Lempereur,fr FRA,DF,Metz,fr Ligue 1,18,1998,1.6,57,39,18,1,0,1,1,17,0,0,0,0,36,0,2,Matches,47c2e669
1407,Clément Lenglet,fr FRA,DF,Sevilla,es La Liga,22,1995,33.3,1727,1663,55,52,2,12,1,3,0,0,0,0,1441,9,15,Matches,4f28a6ff
1408,Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,30,1987,12.4,305,301,3,1,0,0,28,2,0,0,0,0,202,1,20,Matches,2ff964a0
1409,Aaron Lennon,eng ENG,FWMF,Everton,eng Premier League,30,1987,8.8,219,203,15,0,0,0,10,14,0,0,0,0,146,1,18,Matches,2ff964a0
1410,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,25,1992,33.0,1245,918,327,77,0,3,0,0,0,0,0,0,875,0,2,Matches,2628fd2b
1411,Pedro León,es ESP,FWMF,Eibar,es La Liga,30,1986,10.3,429,318,107,33,0,6,133,6,68,29,37,0,231,4,16,Matches,d66b9872
1412,Sergio León,es ESP,FW,Betis,es La Liga,28,1989,22.0,381,332,48,0,2,5,9,1,1,0,1,0,259,1,13,Matches,0a0cc13c
1413,Lukas Lerager,dk DEN,MF,Bordeaux,fr Ligue 1,24,1993,36.5,1608,1564,34,31,6,13,20,3,0,0,0,0,1221,10,30,Matches,1b82f8df
1414,Mehdi Léris,dz ALG,MFFW,Chievo,it Serie A,19,1998,0.5,13,13,0,0,0,0,1,0,0,0,0,0,9,0,0,Matches,7d3cbc67
1415,Jefferson Lerma,co COL,MF,Levante,es La Liga,22,1994,23.7,1103,1075,20,19,4,15,2,1,0,0,0,0,894,8,14,Matches,9b5ce51a
1416,Maxime Lestienne,be BEL,MF,Málaga,es La Liga,25,1992,7.4,236,217,17,7,0,3,32,2,8,3,3,0,160,2,8,Matches,ac290817
1417,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13.0,334,189,145,43,0,0,0,0,0,0,0,0,218,0,0,Matches,96fcd380
1418,Gaetano Letizia,it ITA,DF,Benevento,it Serie A,27,1990,23.8,1298,1083,207,33,2,28,104,172,2,1,0,0,999,8,32,Matches,3dd45b70
1419,Timo Letschert,nl NED,DF,Sassuolo,it Serie A,24,1993,4.6,220,188,32,6,0,2,0,26,0,0,0,0,179,0,1,Matches,be9938ed
1420,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,28,1988,24.1,613,591,18,4,1,2,15,0,0,0,0,0,472,4,26,Matches,8d78e732
1421,Igor Lewczuk,pl POL,DF,Bordeaux,fr Ligue 1,32,1985,4.9,191,163,28,5,0,1,11,23,0,0,0,0,152,0,1,Matches,6b9f2f3e
1422,Stephan Lichtsteiner,ch SUI,DF,Juventus,it Serie A,33,1984,18.9,1250,1069,180,24,2,8,45,156,0,0,0,0,1009,1,35,Matches,99b1d0e6
1423,Dimitri Liénard,fr FRA,MFFW,Strasbourg,fr Ligue 1,29,1988,28.9,1678,1404,260,107,5,45,266,23,129,63,59,1,1196,14,36,Matches,f7691f63
1424,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,21,1996,9.6,405,392,12,9,0,6,0,3,0,0,0,0,325,1,5,Matches,302527b2
1425,Lucas Lima,br BRA,DFFW,Nantes,fr Ligue 1,25,1991,29.5,1580,1156,409,70,0,10,248,258,81,25,49,0,1006,15,61,Matches,0f52f925
1426,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,23,1994,14.3,780,738,41,14,0,3,1,27,0,0,0,0,707,1,4,Matches,f5deef4c
1427,Karol Linetty,pl POL,MF,Sampdoria,it Serie A,22,1995,23.8,1055,1028,22,12,1,5,14,10,0,0,0,0,843,5,23,Matches,d023d70f
1428,Jesse Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,24,1992,20.2,996,928,66,7,8,1,46,16,24,4,13,0,841,2,21,Matches,810e3c74
1429,Pol Lirola,es ESP,DFFW,Sassuolo,it Serie A,19,1997,22.5,947,766,176,8,2,4,84,168,0,0,0,0,648,5,41,Matches,ff800ed8
1430,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,27,1989,29.7,1133,1106,21,5,8,16,16,8,1,1,0,0,878,6,22,Matches,b98570d1
1431,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,26,1991,11.0,383,254,128,34,0,1,0,0,0,0,0,0,296,1,0,Matches,f69e9eee
1432,Adem Ljajić,rs SRB,MFFW,Torino,it Serie A,25,1991,24.1,1280,1111,161,63,8,5,85,26,57,25,20,0,1010,8,32,Matches,2648e18f
1433,Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,23,1993,25.8,1532,1481,46,42,0,27,3,4,0,0,0,0,1360,5,10,Matches,bba30585
1434,Fernando Llorente,es ESP,FWMF,Tottenham,eng Premier League,32,1985,2.6,88,87,1,1,0,0,0,0,0,0,0,0,60,0,1,Matches,82dbf623
1435,Marcos Llorente,es ESP,MF,Real Madrid,es La Liga,22,1995,6.1,430,418,12,12,0,5,1,0,0,0,0,0,401,0,5,Matches,02c15616
1436,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,30,1986,36.0,1167,883,282,55,0,6,0,0,0,0,0,0,916,2,1,Matches,8f62b6ee
1437,Giovani Lo Celso,ar ARG,MF,Paris S-G,fr Ligue 1,21,1996,19.7,1602,1549,48,31,18,11,15,8,9,2,4,0,1434,5,30,Matches,d7553721
1438,Simone Lo Faso,it ITA,FW,Fiorentina,it Serie A,19,1998,0.4,34,34,0,0,0,0,0,0,0,0,0,0,30,0,2,Matches,51c614fd
1439,Stanislav Lobotka,sk SVK,MF,Celta Vigo,es La Liga,22,1994,34.0,2087,2029,54,49,2,18,10,4,0,0,0,0,1888,4,14,Matches,e1cbb531
1440,Jürgen Locadia,nl NED,FWMF,Brighton,eng Premier League,23,1993,2.5,55,51,4,0,1,0,3,1,0,0,0,0,38,0,4,Matches,6cc47ae1
1441,Manuel Locatelli,it ITA,MF,Milan,it Serie A,19,1998,7.6,548,533,12,7,0,3,7,3,2,0,1,0,465,3,5,Matches,a8a874f1
1442,Ruben Loftus-Cheek,eng ENG,MF,Crystal Palace,eng Premier League,21,1996,20.8,745,725,14,2,1,3,12,4,0,0,0,0,603,6,24,Matches,e97fd090
1443,Enzo Loiodice,fr FRA,MF,Dijon,fr Ligue 1,16,2000,1.9,106,106,0,0,0,2,1,0,0,0,0,0,86,0,1,Matches,6bca20fe
1444,Joe Lolley,eng ENG,FWMF,Huddersfield,eng Premier League,24,1992,2.5,73,73,0,0,0,0,8,0,0,0,0,0,52,0,1,Matches,c5f13182
1445,David Lombán,es ESP,DF,Eibar,es La Liga,30,1987,11.0,450,428,21,21,0,15,0,0,0,0,0,0,363,1,0,Matches,b43b81f1
1446,Cristiano Lombardi,it ITA,MFDF,Benevento,it Serie A,21,1995,12.4,364,320,43,4,0,4,37,39,0,0,0,0,258,1,30,Matches,f124b4c9
1447,Kevin Long,ie IRL,DF,Burnley,eng Premier League,26,1990,16.0,546,535,9,8,0,7,2,1,0,0,0,0,389,2,5,Matches,5a4280b1
1448,Shane Long,ie IRL,FW,Southampton,eng Premier League,30,1987,17.6,419,404,15,0,1,1,21,3,0,0,0,0,271,0,13,Matches,9f472354
1449,Ademola Lookman,ng NGA,FWMF,Everton,eng Premier League,19,1997,1.8,47,47,0,0,0,0,2,0,0,0,0,0,38,0,2,Matches,7c104bb7
1450,Ademola Lookman,ng NGA,MFFW,RB Leipzig,de Bundesliga,19,1997,6.4,232,217,14,4,1,1,10,3,5,3,2,0,173,1,13,Matches,7c104bb7
1451,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,26,1990,34.0,1052,721,328,88,0,3,0,1,0,0,0,0,834,3,0,Matches,f00de885
1452,Rony Lopes,pt POR,FWMF,Monaco,fr Ligue 1,21,1995,28.1,842,811,28,6,2,4,94,17,5,3,2,0,588,3,41,Matches,7c2965bb
1453,Adrián López,es ESP,FWMF,La Coruña,es La Liga,29,1988,26.1,904,884,7,0,6,3,29,2,1,1,0,0,610,13,28,Matches,88a359d4
1454,Alberto López,es ESP,DF,Málaga,es La Liga,22,1995,0.5,22,15,7,1,0,0,1,6,0,0,0,0,17,0,0,Matches,c0de5ff5
1455,Andoni López,es ESP,DF,Athletic Club,es La Liga,21,1996,1.0,45,34,11,0,0,1,1,11,0,0,0,0,36,0,1,Matches,fc8cb238
1456,David López,es ESP,DFMF,Espanyol,es La Liga,27,1989,37.0,1933,1817,109,99,1,28,3,10,0,0,0,0,1565,7,21,Matches,f03f284b
1457,Diego López,es ESP,GK,Espanyol,es La Liga,35,1981,9.5,270,153,117,25,0,0,0,0,0,0,0,0,147,0,1,Matches,73683fa9
1458,Iván López,es ESP,DF,Levante,es La Liga,23,1993,1.9,104,77,27,1,0,4,8,26,0,0,0,0,77,0,3,Matches,576575e5
1459,Javi López,es ESP,DF,Espanyol,es La Liga,31,1986,10.7,613,460,151,8,0,2,28,143,0,0,0,0,455,2,15,Matches,ffad706e
1460,Lisandro López,ar ARG,DF,Inter,it Serie A,27,1989,0.5,28,28,0,0,0,0,0,0,0,0,0,0,26,0,0,Matches,8320fe65
1461,Maxi López,ar ARG,FW,Udinese,it Serie A,33,1984,18.7,374,327,44,0,6,0,8,0,0,0,0,0,243,3,13,Matches,ad469944
1462,Maxime Lopez,fr FRA,MFFW,Marseille,fr Ligue 1,19,1997,15.3,1439,1375,59,27,5,7,46,9,21,9,7,0,1292,5,7,Matches,20094685
1463,Pedro López Muñoz,es ESP,DF,Levante,es La Liga,33,1983,17.7,830,614,215,15,0,3,53,200,0,0,0,0,612,1,21,Matches,a60823a4
1464,Pau López,es ESP,GK,Espanyol,es La Liga,22,1994,28.5,817,485,330,93,0,0,0,0,0,0,0,0,465,2,1,Matches,20b9f052
1465,Pedro López,es ESP,GK,Betis,es La Liga,22,1995,4.6,182,130,52,13,0,0,0,0,0,0,0,0,144,0,0,Matches,bfa29677
1466,Víctor López,es ESP,MF,Alavés,es La Liga,20,1997,0.7,18,16,2,0,0,0,5,0,1,0,1,0,10,0,2,Matches,a68856b5
1467,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,28,1989,38.0,1390,912,475,171,0,2,0,0,0,0,0,0,825,3,1,Matches,939bc634
1468,Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,28,1989,23.6,1814,1769,43,38,0,9,4,5,0,0,0,0,1602,2,5,Matches,1a2935f6
1469,Chris Löwe,de GER,DF,Huddersfield,eng Premier League,28,1989,17.6,868,661,202,16,0,4,73,171,15,14,1,0,601,5,30,Matches,c6896eab
1470,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,28,1989,25.5,1165,883,274,11,1,12,71,263,0,0,0,0,779,8,27,Matches,9a9c05db
1471,Anthony Lozano,hn HON,FWMF,Girona,es La Liga,24,1993,5.2,129,120,8,0,0,0,8,1,0,0,0,0,81,1,6,Matches,38699c72
1472,Fabio Lucioni,it ITA,DF,Benevento,it Serie A,29,1987,8.0,283,265,16,16,0,3,0,0,0,0,0,0,222,2,4,Matches,8efa621b
1473,Filipe Luís,br BRA,DF,Atlético Madrid,es La Liga,31,1985,18.4,1178,964,208,26,0,8,43,181,1,0,0,0,956,6,27,Matches,e4ed2628
1474,José Luis Gayà,es ESP,DF,Valencia,es La Liga,22,1995,32.4,1676,1418,250,29,2,6,94,221,0,0,0,0,1325,8,38,Matches,b05e2dbd
1475,José Luis Morales,es ESP,MFFW,Levante,es La Liga,30,1987,34.0,973,902,67,16,8,10,148,30,18,1,13,1,609,4,75,Matches,4a478107
